dimension,mean,std,min,max,abs_max
1,0.555418,0.539209,-1.012067,1.019840,1.019840
2,0.102479,0.507920,-1.013575,1.016024,1.016024
3,-0.243375,0.562525,-1.018518,1.010167,1.018518
4,-0.023782,0.510133,-1.015301,1.013609,1.015301
5,-0.413474,0.404170,-1.019999,0.974843,1.019999
6,-0.515134,0.339183,-1.022252,0.966828,1.022252
7,0.210026,0.445898,-0.940536,1.012242,1.012242
8,-0.605349,0.427264,-1.019011,1.008822,1.019011
9,-0.580392,0.361843,-1.075548,0.904667,1.075548
10,0.127746,0.391387,-1.011522,1.011948,1.011948
11,0.310699,0.596830,-1.014656,1.019221,1.019221
12,-0.516979,0.294758,-1.018932,0.714804,1.018932
13,0.639265,0.483837,-0.947417,1.021447,1.021447
14,0.269681,0.428502,-1.010679,1.013619,1.013619
15,0.151412,0.458371,-1.009019,1.014878,1.014878
16,0.524450,0.456464,-0.930822,1.015457,1.015457
17,0.048327,0.648487,-1.263567,1.264036,1.264036
18,0.014491,0.757828,-1.263614,1.263889,1.263889
19,0.011937,0.740303,-1.266924,1.263303,1.266924
20,0.136666,0.700119,-2.174219,1.728117,2.174219
21,0.111653,0.869169,-1.630937,1.872667,1.872667
22,0.035498,0.821145,-1.698258,1.789162,1.789162
23,0.205592,0.904254,-1.590690,1.454373,1.590690
24,-0.046649,0.718160,-2.330533,1.706842,2.330533
25,0.019780,0.864044,-3.135520,2.096981,3.135520
26,0.200935,0.902949,-2.817237,1.678938,2.817237
27,0.323242,0.764148,-2.932913,1.681229,2.932913
28,0.037825,0.876246,-2.039833,2.714534,2.714534
29,0.315433,0.652326,-1.263080,1.263665,1.263665
30,0.132016,0.980374,-1.264265,1.264612,1.264612
31,0.106367,0.969478,-1.264173,1.263940,1.264173
32,0.272178,0.798518,-1.264844,1.264295,1.264844
33,-0.009934,0.016571,-0.089426,0.051748,0.089426
34,-0.116652,0.018147,-0.198966,-0.049019,0.198966
35,0.551620,0.008619,0.526644,0.605781,0.605781
36,0.751722,0.299517,-0.288671,1.000000,1.000000
37,0.035811,0.326734,-0.999273,0.999199,0.999273
38,-0.011291,0.341801,-0.999403,0.999628,0.999628
39,-0.009457,0.346584,-0.999782,0.999967,0.999967
40,-0.020828,0.167119,-1.169016,0.980528,1.169016
41,-0.025067,0.162451,-1.047875,0.928064,1.047875
42,0.007322,0.162517,-0.952830,0.879465,0.952830
43,0.028465,0.873202,-6.935619,7.559766,7.559766
44,0.026110,0.885371,-7.109429,6.889411,7.109429
45,-0.040448,0.832684,-6.445712,8.770335,8.770335
46,0.000000,0.000000,0.000000,0.000000,0.000000
47,-0.100000,0.000000,-0.100000,-0.100000,0.100000
48,0.520000,0.000000,0.520000,0.520000,0.520000
49,0.368924,0.282665,0.000103,0.999383,0.999383
50,-0.045764,0.503327,-0.999432,0.999128,0.999432
51,0.010772,0.507068,-0.998599,0.997160,0.998599
52,0.011728,0.520761,-0.998691,0.999352,0.999352
53,0.670599,0.322737,-0.251519,0.999996,0.999996
54,0.058934,0.391527,-0.999128,0.999811,0.999811
55,-0.025903,0.373803,-0.999807,0.999664,0.999807
56,-0.010776,0.385817,-0.999932,0.999881,0.999932
57,2.290971,3.785248,-12.279768,18.299952,18.299952
58,0.131682,1.187037,-4.561531,6.126452,6.126452
59,-0.268781,5.076391,-16.237759,16.808697,16.808697
60,1.689679,3.428398,-9.610196,17.133656,17.133656
61,-0.310757,2.812873,-10.884325,11.012562,11.012562
62,-0.136430,3.565196,-12.199403,14.619806,14.619806
63,1.833169,2.985348,-10.063475,11.513999,11.513999
64,-1.145669,2.534828,-8.227767,12.643363,12.643363
65,-1.431149,3.486061,-16.767515,10.341718,16.767515
66,1.540206,2.399829,-10.815197,14.976581,14.976581
67,4.005770,3.844522,-11.892571,23.017920,23.017920
68,-0.206476,1.961391,-11.133521,10.959552,11.133521
69,4.554145,3.076863,-8.070338,14.814612,14.814612
70,1.964146,3.575702,-9.276124,13.051596,13.051596
71,1.709856,3.977821,-12.854044,16.767580,16.767580
72,3.133856,3.318566,-10.009585,16.492863,16.492863
