joint,mean,std,3sigma_low,3sigma_high
1,2.317551,3.801238,-9.086164,13.721266
2,0.141911,1.193769,-3.439395,3.723216
3,-0.161278,5.132136,-15.557687,15.235131
4,1.813582,3.445817,-8.523871,12.151034
5,-0.279636,2.847187,-8.821197,8.261924
6,-0.125459,3.585447,-10.881801,10.630883
7,1.860593,2.985422,-7.095673,10.816859
8,-1.189666,2.546055,-8.827832,6.448500
9,-1.450737,3.497123,-11.942105,9.040631
10,1.628974,2.406165,-5.589520,8.847468
11,4.110589,3.798549,-7.285058,15.506237
12,-0.193292,1.973840,-6.114811,5.728227
13,4.907155,3.088102,-4.357150,14.171459
14,2.040535,3.574251,-8.682219,12.763288
15,1.716238,3.988271,-10.248574,13.681050
16,3.218793,3.291217,-6.654859,13.092445
